athlete_id,name,born_date,born_country,NOC,country_noc
5,Albert Canet,1878-04-17,GBR,France,FRA
17,Guy Forget,1965-01-04,MAR,France,FRA
35,Fabrice Santoro,1972-12-09,FPN,France,FRA
42,Gillian Clark,1961-09-02,IRQ,Great Britain,GBR
55,Monique Javer,1967-07-22,USA,Great Britain,GBR
72,Clare Wood,1968-03-08,RSA,Great Britain,GBR
79,John Pius Boland,1870-09-16,IRL,Great Britain,GBR
80,Neil Broad,1966-11-20,RSA,Great Britain,GBR
81,George Caridia,1869-02-20,IND,Great Britain,GBR
84,Xinhua Chen,1960-01-30,CHN,Great Britain,GBR
90,Desmond Douglas,1955-07-20,JAM,Great Britain,GBR
91,Wilberforce Eaves,1867-12-10,AUS,Great Britain,GBR
92,Lionel Escombe,1876-01-01,RSA,Great Britain,
102,Algernon Kingscote,1888-02-03,IND,Great Britain,GBR
108,Anders Nielsen,1967-02-24,RSA,Great Britain,GBR
110,James Parke,1881-07-26,IRL,Great Britain,GBR
115,Greg Rusedski,1973-09-06,CAN,Great Britain,GBR
119,Archibald Warden,1869-05-11,GBR,France,FRA
120,Patrick Wheatley,1899-01-20,RSA,Great Britain,GBR
125,Sylvia Hanika,1959-11-30,GER,West Germany,FRG
127,Claudia Kohde-Kilsch,1963-12-11,GER,West Germany,FRG
129,Olga Nemes,1968-06-09,ROU,Germany West Germany,GER
130,Katja Nolten,1970-02-16,GER,West Germany,FRG
134,Jie Schöpp,1968-01-25,CHN,Germany,GER
139,Georg Böhm,1962-04-17,ROU,West Germany,FRG
143,Otto Froitzheim,1884-04-24,FRA,Germany,GER
144,Marc-Kevin Goellner,1970-09-22,BRA,Germany,GER
148,Eric Jelen,1965-03-11,GER,West Germany,FRG
154,David Prinosil,1973-03-09,CZE,Germany,GER
156,Jürgen Rebel,1963-07-17,GER,West Germany,FRG
159,Robert Spies,1891-02-17,RUS,Germany,GER
163,Fritz von Bissing,1886-09-09,FRA,Germany,GER
178,Demetrius Casdagli,1872-10-10,GBR,Greece,GRE
179,Kallinikos Kreangka,1972-03-08,ROU,Greece,GRE
182,Dimitrios Petrokokkinos,1878-04-17,GBR,Greece,GRE
185,Daniel Tsiokas,1971-06-19,ROU,Greece,GRE
186,Avgoustos Zerlentis,1886-11-05,EGY,Greece,GRE
188,Ronald Agénor,1964-11-13,MAR,Haiti,HAI
218,Kálmán Kirchmayer,1897-11-15,POL,Hungary,HUN
223,László Markovits,1970-04-04,MEX,Hungary,HUN
226,Momcsilló Tapavicza,1872-10-14,SRB,Hungary,HUN
227,Ede Tóth,1884-03-11,ROU,Hungary,HUN
230,Béla Kehrling,1891-01-25,SVK,Hungary,HUN
288,Donald Rutnam,1902-09-19,SRI,India,IND
289,Mohammed Sleem,1892-01-14,PAK,India,IND
290,Ángel Bello,1951-01-09,ESP,Argentina,ARG
297,David Anear,1948-03-26,GBR,Australia,AUS
373,Ed Gamble,1935-09-18,GBR,Canada,CAN
424,Juan Carlos Holgado,1968-04-16,GER,Spain,ESP
451,Herrad Frey,1933-08-25,SUI,France,FRA
476,Émile Grumiaux,1861-06-11,BEL,France,FRA
505,Ursula Büschking,1941-09-23,POL,West Germany,FRG
506,Manuela Dachner,1960-06-15,GER,West Germany,FRG
508,Doris Haas,1964-12-27,GER,West Germany,FRG
509,Claudia Kriz,1957-01-18,GER,West Germany,FRG
511,Carla Nolpa,1946-03-10,CZE,West Germany,FRG
512,Christa Öckl,1943-09-30,CZE,West Germany,FRG
514,Maria Urban,1941-12-20,AUT,West Germany,FRG
516,Manfred Barth,1945-08-31,GER,West Germany,FRG
517,Willi Gabriel,1939-09-24,POL,West Germany,FRG
518,Armin Garnreiter,1958-07-24,GER,West Germany,FRG
519,Detlef Kahlert,1962-08-01,GER,West Germany,FRG
520,Richard Krust,1928-08-04,GER,West Germany,FRG
523,Siegfried Ortmann,1937-01-17,GER,West Germany,FRG
525,Rudi Schiffl,1941-08-18,GER,West Germany,FRG
526,Bernhard Schulkowski,1951-10-09,GER,West Germany,FRG
528,Harry Wittig,1961-06-19,GER,West Germany,FRG
532,Adelaide Boddam-Whetham,1860-12-09,AUS,Great Britain,GBR
544,Beatrice Hill-Lowe,1868-01-26,IRL,Great Britain,GBR
554,Emily Rushton,1850-01-01,GBR,Great Britain,
558,Janetta Vance,1855-02-16,IRL,Great Britain,GBR
563,Hilda Williams,1876-01-01,GBR,Great Britain,
589,Lizzie Foster,1856-09-10,AUS,Great Britain,GBR
611,Ying Kwok,1966-04-24,CHN,Australia,AUS
620,Song Yang,1965-05-12,CHN,Australia,AUS
621,Shirley Zhou,1978-03-10,CHN,Australia,AUS
627,Teddy Flack,1873-11-05,GBR,Australia,AUS
633,Wally Masur,1963-05-13,GBR,Australia,AUS
649,Ding Yi,1959-01-14,CHN,Austria,AUT
652,Rolf Kinzl,1878-10-19,CZE,Austria,AUT
655,Fritz Felix Piepes,1887-04-15,CZE,Austria,AUT
656,Qian Qianli,1965-02-07,CHN,Austria,AUT
659,"Ludwig, Graf von Salm-Hoogstraeten",1885-02-24,GER,Austria,AUT
689,Ulada Charniauskaya,1966-08-10,RUS,Belarus,BLR
694,Hedwig Rosenbaum,1864-07-03,CZE,Bohemia,BOH
695,Bohuslav Hykš,1889-05-07,CZE,Bohemia Czechoslovakia,BOH
696,Jaroslav Hainz,1883-09-17,CZE,Bohemia,BOH
697,Jiří Kodl,1889-04-03,CZE,Bohemia,BOH
698,Josef Gruss,1884-07-08,CZE,Bohemia Czechoslovakia,BOH
700,Josef Šebek,1888-03-18,CZE,Bohemia,BOH
701,Jaromír Zeman,1886-08-12,CZE,Bohemia,BOH
714,Fino Meligeni,1971-04-12,ARG,Brazil,BRA
731,Petra Cada,1979-02-02,CZE,Canada,CAN
732,Barbara Chiu,1964-07-14,CHN,Canada,CAN
733,Si-An Deng,1963-06-25,CHN,Canada,CAN
734,Mariann Domonkos,1958-02-12,HUN,Canada,CAN
737,Patricia Hy-Boulais,1965-08-22,CAM,"Canada Hong Kong, China",CAN
740,Jana Nejedly,1974-06-09,CZE,Canada,CAN
745,Claude Russell-Brown,1873-04-11,IND,Canada,CAN
747,Jaimie Dawson,1969-07-28,SUI,Canada,CAN
748,John Foulkes,1872-07-10,GBR,Canada,CAN
